ID,QUIZ: Financial Aid Requirement,Career Action Plan Check-In 1,Career Action Plan Check-In 2,Career Action Plan Check-In 3,Part 1 of Final Project - Interview Professional Approval,Part 2 of Final Project: Informational Interview,Week 1: To-DO Points Submission,Week 2: To-DO Points Submission,Week 3: To-DO Points Submission,Week 4: To-DO Points Submission,Week 5: To-DO Points Submission,Week 6: To-DO Points Submission,Week 7: To-DO Points Submission,Week 8: To-DO Points Submission,Week 9: To-DO Points Submission,Week 10: To-DO Points Submission,Week 11: To-DO Points Submission,Week 12: To-DO Points Submission,Week 13: To-DO Points Submission,1st Points Deadline Activity Assignment,2nd Points Deadline Activity Assignment,Final Earned To-DO Points Running Total (Max 30),Assignment 1: Networking with a Purpose,Assignment 2: The Optimized Resume,Assignment 3: Communicating Your Brand,In-Class LIVE Lecture Assignment for Attendance,Week 2 Quiz,Week 3 Quiz,Week 4 Quiz,Week 5 Quiz,Week 6 Quiz,Week 7 Quiz,Week 8 Quiz,Week 9 Quiz,Week 11 Quiz,Week 13 Quiz,Final Points,Final Score,Final Grade
4438747,9.44,5,5,0,10,40,,,,,,,,,,,,,20,0,15,15,7.5,5,0,30,4.67,5,5,5,5,5,5,5,0,0,166.6,66.64,D
4512221,9.38,5,5,5,10,40,,,,,,,0,,,,,,,0,0,0,30,5,29,30,5,5,5,5,5,5,4,5,5,5,217.38,86.95,B
4383640,10,5,5,5,10,40,,20,,,,10,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,4,5,5,5,249,99.6,A
4414544,9.89,5,5,0,10,40,,,30,,,,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,244.89,97.96,A
4411036,10,5,5,5,10,40,,,,,,,20,,,,,,10,15,15,30,30,0,30,30,5,5,5,5,5,5,4,5,5,5,244,97.6,A
4481227,10,5,5,5,10,40,,,,10,5,,,,,5,,10,,15,15,30,30,5,18,30,4,5,5,5,5,5,5,5,5,5,237,94.8,A
4462382,10,5,5,5,10,40,,,30,,,,,,,,,,,15,15,30,30,5,18,30,5,5,5,5,5,5,5,5,5,5,238,95.2,A
4517835,10,5,5,5,10,40,,10,,10,10,,,,,,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,4,4,5,5,248,99.2,A
4410992,9.06,5,5,5,10,40,,,,,,,,,,,,,30,15,15,30,30,5,30,30,4.67,5,5,5,5,5,5,5,5,5,248.73,99.49,A
4449551,9.5,5,5,0,10,40,,,,10,5,,5,,,5,,,5,15,15,30,30,5,21.5,30,5,5,5,5,5,5,5,5,5,5,236,94.4,A
4447791,9.75,5,5,2.5,10,40,,,,,,10,10,,,,,,10,15,15,30,30,5,18,30,5,5,5,4,5,5,5,4,5,5,233.25,93.3,A
4471786,10,5,5,5,10,40,,,10,,5,,,,5,10,,,,15,15,30,30,5,30,30,5,5,5,5,5,5,5,5,5,5,250,100,A
